driver,GP_name,driver_home,driver_conf,active_driver,best_position,driver_score,dob,date_first_race
Alexander Albon,Albert Park Grand Prix Circuit,0,0.9285714285714286,1,10,0.4999999999999999,1996-03-23,2019-03-17
Alexander Albon,Autodromo Enzo e Dino Ferrari,0,0.9285714285714286,1,11,0.5,1996-03-23,2019-03-17
Alexander Albon,Autodromo Internazionale del Mugello,0,0.9285714285714286,1,3,4.0,1996-03-23,2019-03-17
Alexander Albon,Autodromo Nazionale di Monza,0,0.9285714285714286,1,6,1.25,1996-03-23,2019-03-17
Alexander Albon,Autódromo Hermanos Rodríguez,0,0.9285714285714286,1,5,1.25,1996-03-23,2019-03-17
Alexander Albon,Autódromo Internacional do Algarve,0,0.9285714285714286,1,12,0.5,1996-03-23,2019-03-17
Alexander Albon,Autódromo José Carlos Pace,0,0.9285714285714286,1,14,0.5,1996-03-23,2019-03-17
Alexander Albon,Bahrain International Circuit,0,0.9285714285714286,1,3,2.1,1996-03-23,2019-03-17
Alexander Albon,Baku City Circuit,0,0.9285714285714286,1,11,0.5,1996-03-23,2019-03-17
Alexander Albon,Circuit Gilles Villeneuve,0,0.9285714285714286,1,7,0.4999999999999999,1996-03-23,2019-03-17
Alexander Albon,Circuit Park Zandvoort,0,0.9285714285714286,1,12,0.5,1996-03-23,2019-03-17
Alexander Albon,Circuit Paul Ricard,0,0.9285714285714286,1,13,0.5,1996-03-23,2019-03-17
Alexander Albon,Circuit de Barcelona-Catalunya,0,0.9285714285714286,1,8,0.875,1996-03-23,2019-03-17
Alexander Albon,Circuit de Monaco,0,0.9285714285714286,1,8,0.4999999999999999,1996-03-23,2019-03-17
Alexander Albon,Circuit de Spa-Francorchamps,0,0.9285714285714286,1,5,1.625,1996-03-23,2019-03-17
Alexander Albon,Circuit of the Americas,0,0.9285714285714286,1,5,1.25,1996-03-23,2019-03-17
Alexander Albon,Hockenheimring,0,0.9285714285714286,1,6,2.0,1996-03-23,2019-03-17
Alexander Albon,Hungaroring,0,0.9285714285714286,1,5,1.25,1996-03-23,2019-03-17
Alexander Albon,Istanbul Park,0,0.9285714285714286,1,7,2.0,1996-03-23,2019-03-17
Alexander Albon,Jeddah Corniche Circuit,0,0.9285714285714286,1,14,-0.25,1996-03-23,2019-03-17
Alexander Albon,Marina Bay Street Circuit,0,0.9285714285714286,1,6,0.5,1996-03-23,2019-03-17
Alexander Albon,Miami International Autodrome,0,0.9285714285714286,1,9,1.25,1996-03-23,2019-03-17
Alexander Albon,Nürburgring,0,0.9285714285714286,1,100,-1.0,1996-03-23,2019-03-17
